fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
cox.net;smtp.cox.net:465,wsip-24-234-112-148.lv.lv.cox.net:465,smtp.myemail.cox.net:587;%EMAILLOCALPART%
dk2net.dk;mail.telenor.dk:587;%EMAILADDRESS%
dan.gunmanet.or.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
disciples.com;smtp.mail.com:465;%EMAILADDRESS%
cybergal.com;smtp.mail.com:465;%EMAILADDRESS%
deliveryman.com;smtp.mail.com:465;%EMAILADDRESS%
dan.gunmanet.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
dallasmail.com;smtp.mail.com:465;%EMAILADDRESS%
co3.wind.ne.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
cty-net.com;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
cyberdude.dk;mail.telenor.dk:587;%EMAILADDRESS%
cyber-wizard.com;smtp.mail.com:465;%EMAILADDRESS%
dondominio.com;smtp.dondominio.com:465,mailing.dondominio.com:587,mailsrv5.dondominio.com:587,mailsrv7.dondominio.com:587,mailsrv2.dondominio.com:465,mailsrv6.dondominio.com:587;%EMAILADDRESS%
dr.com;smtp.mail.com:465;%EMAILADDRESS%
cneweb.de;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
dan.wind.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
doglover.com;smtp.mail.com:465;%EMAILADDRESS%
dance.plala.or.jp;dance.mail.plala.or.jp:587;%EMAILLOCALPART%
dk-online.dk;mail.telenor.dk:587;%EMAILADDRESS%
dd.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
diplomats.com;smtp.mail.com:465;%EMAILADDRESS%
diamond.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
dbzmail.com;smtp.mail.com:465;%EMAILADDRESS%
coral.plala.or.jp;coral.mail.plala.or.jp:587;%EMAILLOCALPART%
elpasotel.net;smtp.elpasotel.net:587;%EMAILADDRESS%
doctor.com;smtp.mail.com:465;%EMAILADDRESS%
dmail.plala.or.jp;dmail.mail.plala.or.jp:587;%EMAILLOCALPART%
earthlink.net;smtpauth.earthlink.net:587,smtpauth.qe.earthlink.net:587;%EMAILADDRESS%
doramail.com;smtp.mail.com:465;%EMAILADDRESS%
emadisonriver.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
ebony.plala.or.jp;ebony.mail.plala.or.jp:587;%EMAILLOCALPART%
elsker.dk;mail.telenor.dk:587;%EMAILADDRESS%
email.com;smtp.mail.com:465;%EMAILADDRESS%
emadisonriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
cool.dk;mail.telenor.dk:587;%EMAILADDRESS%
emailsrvr.com;secure.emailsrvr.com:465;%EMAILADDRESS%
email.plala.or.jp;email.mail.plala.or.jp:587;%EMAILLOCALPART%
email.cz;smtp.seznam.cz:465,mx2.mojedomena.seznam.cz:465;%EMAILADDRESS%
earthling.net;smtp.mail.com:465;%EMAILADDRESS%
engineer.com;smtp.mail.com:465;%EMAILADDRESS%
